net	pips	fanout
<const0>	6614	325
<const1>	5326	65
FSM_onehot_bm_st_reg_n_0_[0]	15	6
FSM_onehot_bm_st_reg_n_0_[1]	72	25
FSM_sequential_emitph[1]_i_2_n_0	5	2
FSM_sequential_emitph[1]_i_3_n_0	7	3
FSM_sequential_emitph[1]_i_4_n_0	4	1
FSM_sequential_emitph[1]_i_5_n_0	4	1
FSM_sequential_tst[1]_i_3_n_0	10	3
FSM_sequential_tst[2]_i_2_n_0	4	1
FSM_sequential_tst[2]_i_3_n_0	8	2
FSM_sequential_tst[2]_i_4_n_0	10	3
FSM_sequential_tst[2]_i_5_n_0	13	4
FSM_sequential_tst[2]_i_6_n_0	4	1
FSM_sequential_tst[2]_i_7_n_0	12	4
FSM_sequential_tst[2]_i_8_n_0	7	2
FSM_sequential_tst[3]_i_1_n_0	7	4
FSM_sequential_tst[3]_i_3_n_0	13	4
FSM_sequential_tst[3]_i_4_n_0	3	1
FSM_sequential_tst[3]_i_5_n_0	40	16
FSM_sequential_tst[3]_i_6_n_0	5	1
FSM_sequential_tst[3]_i_7_n_0	4	1
FSM_sequential_tst[3]_i_8_n_0	6	1
FSM_sequential_tst_reg[1]_i_21_n_0	1	1
FSM_sequential_tst_reg[1]_i_22_n_0	1	1
FSM_sequential_tst_reg[1]_i_23_n_0	1	1
FSM_sequential_tst_reg[1]_i_2_n_0	17	6
FSM_sequential_tst_reg[1]_i_4_n_0	1	1
bm_addr	52	48
bm_addr_reg_n_0_[10]	220	35
bm_addr_reg_n_0_[11]	226	36
bm_addr_reg_n_0_[12]	115	44
bm_addr_reg_n_0_[13]	125	52
bm_addr_reg_n_0_[14]	121	53
bm_addr_reg_n_0_[15]	134	53
bm_addr_reg_n_0_[16]	63	19
bm_addr_reg_n_0_[3]	256	55
bm_addr_reg_n_0_[4]	239	43
bm_addr_reg_n_0_[5]	242	43
bm_addr_reg_n_0_[6]	225	36
bm_addr_reg_n_0_[7]	217	35
bm_addr_reg_n_0_[8]	216	34
bm_addr_reg_n_0_[9]	214	34
bm_done	13	4
bm_done_reg_n_0	24	10
bm_owner_reg_n_0_[0]	11	5
bm_owner_reg_n_0_[1]	11	5
bm_rdata	65	32
bm_rdata_reg_n_0_[0]	20	5
bm_rdata_reg_n_0_[10]	13	3
bm_rdata_reg_n_0_[11]	7	1
bm_rdata_reg_n_0_[12]	6	1
bm_rdata_reg_n_0_[13]	6	1
bm_rdata_reg_n_0_[14]	7	1
bm_rdata_reg_n_0_[15]	38	10
bm_rdata_reg_n_0_[16]	7	1
bm_rdata_reg_n_0_[17]	7	1
bm_rdata_reg_n_0_[18]	7	1
bm_rdata_reg_n_0_[19]	6	1
bm_rdata_reg_n_0_[1]	20	5
bm_rdata_reg_n_0_[20]	7	1
bm_rdata_reg_n_0_[21]	7	1
bm_rdata_reg_n_0_[22]	8	1
bm_rdata_reg_n_0_[23]	7	1
bm_rdata_reg_n_0_[24]	7	1
bm_rdata_reg_n_0_[25]	5	1
bm_rdata_reg_n_0_[26]	8	1
bm_rdata_reg_n_0_[27]	7	1
bm_rdata_reg_n_0_[28]	4	1
bm_rdata_reg_n_0_[29]	6	1
bm_rdata_reg_n_0_[2]	32	11
bm_rdata_reg_n_0_[30]	6	1
bm_rdata_reg_n_0_[31]	15	2
bm_rdata_reg_n_0_[3]	31	10
bm_rdata_reg_n_0_[4]	33	9
bm_rdata_reg_n_0_[5]	25	6
bm_rdata_reg_n_0_[6]	21	5
bm_rdata_reg_n_0_[7]	18	4
bm_rdata_reg_n_0_[8]	15	5
bm_rdata_reg_n_0_[9]	16	4
bm_wdata[31]_i_1_n_0	16	21
bm_wdata_reg_n_0_[0]	200	40
bm_wdata_reg_n_0_[10]	177	37
bm_wdata_reg_n_0_[11]	171	36
bm_wdata_reg_n_0_[12]	178	36
bm_wdata_reg_n_0_[13]	178	36
bm_wdata_reg_n_0_[14]	176	36
bm_wdata_reg_n_0_[15]	181	36
bm_wdata_reg_n_0_[16]	171	36
bm_wdata_reg_n_0_[17]	171	36
bm_wdata_reg_n_0_[18]	169	36
bm_wdata_reg_n_0_[19]	179	36
bm_wdata_reg_n_0_[1]	192	40
bm_wdata_reg_n_0_[20]	173	36
bm_wdata_reg_n_0_[21]	174	36
bm_wdata_reg_n_0_[22]	175	36
bm_wdata_reg_n_0_[23]	175	36
bm_wdata_reg_n_0_[24]	171	35
bm_wdata_reg_n_0_[25]	155	35
bm_wdata_reg_n_0_[26]	160	35
bm_wdata_reg_n_0_[27]	159	35
bm_wdata_reg_n_0_[28]	165	35
bm_wdata_reg_n_0_[29]	164	35
bm_wdata_reg_n_0_[2]	198	40
