frame	word	bit	dir	tile	tiletype	segbit
0x0000101E	56	9	O	LIOB18_X81Y133	LIOB18	30_041
0x00001020	55	16	O	LIOB18_X81Y133	LIOB18	32_016
0x00001021	56	29	O	LIOB18_X81Y133	LIOB18	33_061
0x00001026	55	12	O	LIOB18_X81Y133	LIOB18	38_012
0x00001026	56	0	O	LIOB18_X81Y133	LIOB18	38_032
0x00001026	56	2	O	LIOB18_X81Y133	LIOB18	38_034
0x0000259C	50	23	G	CLK_HROW_BOT_R_X192Y130	CLK_HROW_BOT_R	28_279
0x0000259C	50	24	G	CLK_HROW_BOT_R_X192Y130	CLK_HROW_BOT_R	28_280
0x0000259C	50	25	G	CLK_HROW_BOT_R_X192Y130	CLK_HROW_BOT_R	28_281
0x0000259D	50	23	G	CLK_HROW_BOT_R_X192Y130	CLK_HROW_BOT_R	29_279
0x0000259D	50	24	G	CLK_HROW_BOT_R_X192Y130	CLK_HROW_BOT_R	29_280
0x0002109B	50	21	O	HCLK_CMT_X88Y182	HCLK_CMT	27_181
0x0002259C	50	23	G	CLK_HROW_BOT_R_X192Y182	CLK_HROW_BOT_R	28_279
0x0002259C	50	24	G	CLK_HROW_BOT_R_X192Y182	CLK_HROW_BOT_R	28_280
0x0002259C	50	25	G	CLK_HROW_BOT_R_X192Y182	CLK_HROW_BOT_R	28_281
0x0002259D	50	23	G	CLK_HROW_BOT_R_X192Y182	CLK_HROW_BOT_R	29_279
0x0002259D	50	24	G	CLK_HROW_BOT_R_X192Y182	CLK_HROW_BOT_R	29_280
0x00023C1B	50	25	O	HCLK_CMT_L_X305Y182	HCLK_CMT_L	27_185
0x00063C9D	54	13	G	RIOB18_X312Y287	RIOB18	29_109
0x00063CA6	53	14	G	RIOB18_X312Y287	RIOB18	38_078
0x00063CA6	53	16	G	RIOB18_X312Y287	RIOB18	38_080
0x00063CA6	53	30	G	RIOB18_X312Y287	RIOB18	38_094
0x00063CA6	54	28	G	RIOB18_X312Y287	RIOB18	38_124
0x00063CA7	51	3	G	RIOB18_X312Y287	RIOB18	39_003
0x00063CA7	53	15	G	RIOB18_X312Y287	RIOB18	39_079
0x00063CA7	54	7	G	RIOB18_X312Y287	RIOB18	39_103
0x00063CA8	50	31	O	HCLK_IOI_X311Y286	HCLK_IOI	40_031
0x00063CA9	50	15	O	HCLK_IOI_X311Y286	HCLK_IOI	41_015
0x00063CA9	50	30	O	HCLK_IOI_X311Y286	HCLK_IOI	41_030
0x0040101C	55	18	G	LIOB18_X81Y81	LIOB18	28_018
0x0040101F	56	28	G	LIOB18_X81Y81	LIOB18	31_060
0x00401026	55	0	G	LIOB18_X81Y81	LIOB18	38_000
0x00401026	89	14	G	LIOB18_X81Y97	LIOB18	38_078
0x00401026	89	16	G	LIOB18_X81Y97	LIOB18	38_080
0x00401026	89	30	G	LIOB18_X81Y97	LIOB18	38_094
0x00401026	90	30	G	LIOB18_X81Y97	LIOB18	38_126
0x00401026	55	24	O	LIOB18_X81Y81	LIOB18	38_024
0x00401026	56	16	O	LIOB18_X81Y81	LIOB18	38_048
0x00401027	55	1	G	LIOB18_X81Y81	LIOB18	39_001
0x00401027	89	15	G	LIOB18_X81Y97	LIOB18	39_079
0x00401027	90	7	G	LIOB18_X81Y97	LIOB18	39_103
0x00401027	90	19	G	LIOB18_X81Y97	LIOB18	39_115
0x00401027	90	21	G	LIOB18_X81Y97	LIOB18	39_117
0x00401027	90	31	G	LIOB18_X81Y97	LIOB18	39_127
0x00401027	56	1	O	LIOB18_X81Y81	LIOB18	39_033
0x00401027	56	15	O	LIOB18_X81Y81	LIOB18	39_047
0x00401027	56	17	O	LIOB18_X81Y81	LIOB18	39_049
0x0040259C	50	23	G	CLK_HROW_BOT_R_X192Y78	CLK_HROW_BOT_R	28_279
0x0040259C	50	24	G	CLK_HROW_BOT_R_X192Y78	CLK_HROW_BOT_R	28_280
0x0040259C	50	25	G	CLK_HROW_BOT_R_X192Y78	CLK_HROW_BOT_R	28_281
0x0040259D	50	23	G	CLK_HROW_BOT_R_X192Y78	CLK_HROW_BOT_R	29_279
0x0040259D	50	24	G	CLK_HROW_BOT_R_X192Y78	CLK_HROW_BOT_R	29_280
0x0042101C	63	18	G	LIOB18_X81Y33	LIOB18	28_018
0x0042109A	50	21	O	HCLK_CMT_X88Y26	HCLK_CMT	26_181
0x0042109B	50	21	O	HCLK_CMT_X88Y26	HCLK_CMT	27_181
0x0042109B	50	25	O	HCLK_CMT_X88Y26	HCLK_CMT	27_185
0x0042109C	50	26	O	HCLK_CMT_X88Y26	HCLK_CMT	28_186
0x0042109D	50	26	O	HCLK_CMT_X88Y26	HCLK_CMT	29_186
0x00423C1A	49	24	G	HCLK_CMT_L_X305Y26	HCLK_CMT_L	26_152
0x00423C1A	49	27	G	HCLK_CMT_L_X305Y26	HCLK_CMT_L	26_155
0x00423C1B	49	17	G	HCLK_CMT_L_X305Y26	HCLK_CMT_L	27_145
0x00423C1B	49	20	G	HCLK_CMT_L_X305Y26	HCLK_CMT_L	27_148
0x00423C1C	49	24	G	HCLK_CMT_L_X305Y26	HCLK_CMT_L	28_152
0x00423C1C	49	26	G	HCLK_CMT_L_X305Y26	HCLK_CMT_L	28_154
0x00423C1C	50	23	G	HCLK_CMT_L_X305Y26	HCLK_CMT_L	28_183
0x00423C1D	50	21	G	HCLK_CMT_L_X305Y26	HCLK_CMT_L	29_181
0x00423C1D	50	22	G	HCLK_CMT_L_X305Y26	HCLK_CMT_L	29_182
0x00423F00	45	0	O	CLBLM_L_X126Y22	CLBLM_L	00_032
0x00423F00	45	4	O	CLBLM_L_X126Y22	CLBLM_L	00_036
0x00424880	27	0	O	CLBLM_R_X145Y13	CLBLM_R	00_032
0x00424881	27	3	O	CLBLM_R_X145Y13	CLBLM_R	01_035
0x00424901	27	3	O	CLBLL_L_X146Y13	CLBLL_L	01_035
0x00424A81	29	3	O	CLBLL_R_X149Y14	CLBLL_R	01_035
0x00424C9A	30	2	G	INT_R_X153Y15	INT_R	26_002
0x00424C9A	30	3	G	INT_R_X153Y15	INT_R	26_003
0x00424C9A	30	11	G	INT_R_X153Y15	INT_R	26_011
0x00424C9A	31	3	G	INT_R_X153Y15	INT_R	26_035
0x00424C9A	31	11	G	INT_R_X153Y15	INT_R	26_043
0x00424C9A	32	27	G	INT_R_X153Y16	INT_R	26_027
0x00424C9A	34	3	G	INT_R_X153Y17	INT_R	26_003
0x00424C9A	34	11	G	INT_R_X153Y17	INT_R	26_011
0x00424C9A	35	3	G	INT_R_X153Y17	INT_R	26_035
0x00424C9A	35	11	G	INT_R_X153Y17	INT_R	26_043
0x00424C9A	36	19	G	INT_R_X153Y18	INT_R	26_019
0x00424C9A	36	27	G	INT_R_X153Y18	INT_R	26_027
0x00424C9A	37	19	G	INT_R_X153Y18	INT_R	26_051
0x00424C9B	31	12	G	INT_R_X153Y15	INT_R	27_044
0x00424C9B	33	28	G	INT_R_X153Y16	INT_R	27_060
0x00424C9B	35	12	G	INT_R_X153Y17	INT_R	27_044
0x00424C9B	37	28	G	INT_R_X153Y18	INT_R	27_060
0x00424C9C	22	0	G	-	UNKNOWN	
0x00424C9C	22	1	G	-	UNKNOWN	
0x00424C9C	23	26	G	-	UNKNOWN	
