IO_RST_IBUF_inst	IOB_X0Y124	IOB18.INBUF_DCIEN	IBUF
LED_OBUF[0]_inst	IOB_X0Y138	IOB18.OUTBUF_DCIEN	OBUF
LED_OBUF[1]_inst	IOB_X0Y137	IOB18.OUTBUF_DCIEN	OBUF
LED_OBUF[2]_inst	IOB_X0Y140	IOB18.OUTBUF_DCIEN	OBUF
LED_OBUF[2]_inst_i_1	SLICE_X187Y21	SLICEL.A5LUT	LUT3
LED_OBUF[3]_inst	IOB_X0Y139	IOB18.OUTBUF_DCIEN	OBUF
LED_OBUF[4]_inst	IOB_X0Y49	IOB18.OUTBUF_DCIEN	OBUF
LED_OBUF[4]_inst_i_1	SLICE_X184Y21	SLICEM.A6LUT	LUT3
LED_OBUF[5]_inst	IOB_X0Y134	IOB18.OUTBUF_DCIEN	OBUF
LED_OBUF[5]_inst_i_1	SLICE_X184Y21	SLICEM.A5LUT	LUT3
LED_OBUF[6]_inst	IOB_X0Y133	IOB18.OUTBUF_DCIEN	OBUF
LED_OBUF[6]_inst_i_1	SLICE_X186Y21	SLICEM.A5LUT	LUT4
LED_OBUF[7]_inst	IOB_X0Y128	IOB18.OUTBUF_DCIEN	OBUF
LED_OBUF[7]_inst_i_1	SLICE_X186Y21	SLICEM.A6LUT	LUT3
bs_drck_BUFG_inst	BUFGCTRL_X0Y4	BUFG.BUFG	BUFG
bs_sr[10]_i_1	SLICE_X184Y21	SLICEM.B6LUT	LUT3
bs_sr[11]_i_1	SLICE_X184Y21	SLICEM.B5LUT	LUT3
bs_sr[15]_i_1	SLICE_X182Y23	SLICEM.A6LUT	LUT2
bs_sr[16]_i_1	SLICE_X188Y19	SLICEM.A6LUT	LUT3
bs_sr[17]_i_1	SLICE_X188Y19	SLICEM.A5LUT	LUT3
bs_sr[18]_i_1	SLICE_X190Y19	SLICEM.A6LUT	LUT3
bs_sr[19]_i_1	SLICE_X190Y19	SLICEM.A5LUT	LUT3
bs_sr[20]_i_1	SLICE_X190Y19	SLICEM.B6LUT	LUT3
bs_sr[21]_i_1	SLICE_X190Y19	SLICEM.B5LUT	LUT3
bs_sr[22]_i_1	SLICE_X190Y18	SLICEM.A6LUT	LUT3
bs_sr[23]_i_1	SLICE_X190Y18	SLICEM.A5LUT	LUT3
bs_sr[24]_i_1	SLICE_X190Y18	SLICEM.B6LUT	LUT3
bs_sr[25]_i_1	SLICE_X190Y18	SLICEM.B5LUT	LUT3
bs_sr[26]_i_1	SLICE_X190Y18	SLICEM.C6LUT	LUT3
bs_sr[27]_i_1	SLICE_X190Y18	SLICEM.C5LUT	LUT3
bs_sr[28]_i_1	SLICE_X190Y18	SLICEM.D6LUT	LUT3
bs_sr[29]_i_1	SLICE_X190Y18	SLICEM.D5LUT	LUT3
bs_sr[30]_i_1	SLICE_X186Y17	SLICEM.A6LUT	LUT3
bs_sr[31]_i_1	SLICE_X186Y17	SLICEM.A5LUT	LUT3
bs_sr[32]_i_1	SLICE_X186Y17	SLICEM.B6LUT	LUT3
bs_sr[33]_i_1	SLICE_X186Y17	SLICEM.B5LUT	LUT3
bs_sr[34]_i_1	SLICE_X186Y17	SLICEM.C6LUT	LUT3
bs_sr[35]_i_1	SLICE_X186Y17	SLICEM.C5LUT	LUT3
bs_sr[36]_i_1	SLICE_X188Y18	SLICEM.A6LUT	LUT3
bs_sr[37]_i_1	SLICE_X188Y18	SLICEM.A5LUT	LUT3
bs_sr[38]_i_1	SLICE_X188Y18	SLICEM.B6LUT	LUT3
bs_sr[39]_i_1	SLICE_X188Y18	SLICEM.B5LUT	LUT3
bs_sr[40]_i_1	SLICE_X188Y18	SLICEM.C6LUT	LUT3
bs_sr[41]_i_1	SLICE_X188Y18	SLICEM.C5LUT	LUT3
bs_sr[42]_i_1	SLICE_X188Y19	SLICEM.B6LUT	LUT3
bs_sr[43]_i_1	SLICE_X188Y19	SLICEM.B5LUT	LUT3
bs_sr[44]_i_1	SLICE_X188Y19	SLICEM.C6LUT	LUT3
bs_sr[45]_i_1	SLICE_X188Y19	SLICEM.C5LUT	LUT3
bs_sr[46]_i_1	SLICE_X188Y19	SLICEM.D6LUT	LUT3
bs_sr[47]_i_1	SLICE_X188Y19	SLICEM.D5LUT	LUT3
bs_sr[48]_i_1	SLICE_X182Y18	SLICEM.A6LUT	LUT3
bs_sr[49]_i_1	SLICE_X182Y18	SLICEM.A5LUT	LUT3
bs_sr[50]_i_1	SLICE_X182Y18	SLICEM.B6LUT	LUT3
bs_sr[51]_i_1	SLICE_X182Y18	SLICEM.B5LUT	LUT3
bs_sr[52]_i_1	SLICE_X182Y18	SLICEM.C6LUT	LUT3
